url,title,author,rating,story
https://sclibrary.bibliocommons.com/v2/record/S146C1951723,Children of Blood and Bone,"Adeyemi, Tomi",4.1,"Seventeen-year-old Zélie, her older brother Tzain, and rogue princess Amari fight to restore magic to the land and activate a new generation of magi, but they are ruthlessly pursued by the crown prince, who believes the return of magic will mean the end of the monarchy"
https://sclibrary.bibliocommons.com/v2/record/S146C1934887,The Hazel Wood,"Albert, Melissa",3.7,"Seventeen-year-old Alice and her mother have spent most of Alice's life on the road, always a step ahead of the uncanny bad luck biting at their heels. But when Alice's grandmother, the reclusive author of a cult-classic book of pitch-dark fairy tales, dies alone on her estate, the Hazel Wood, Alice learns how bad her luck…"
https://sclibrary.bibliocommons.com/v2/record/S146C1791773,Simon Vs. the Homo Sapiens Agenda,"Albertalli, Becky",4.3,"""Sixteen-year-old, not-so-openly-gay Simon Spier is blackmailed into playing wingman for his classmate or else his sexual identity--and that of his pen pal--will be revealed""--"
https://sclibrary.bibliocommons.com/v2/record/S146C1474578,The Absolutely True Diary of a Part-time Indian,"Alexie, Sherman, 1966",4.2,Budding cartoonist Junior leaves his troubled school on the Spokane Indian Reservation to attend an all-white farm town school where the only other Indian is the school mascot
https://sclibrary.bibliocommons.com/v2/record/S146C1946695,Saints and Misfits,"Ali, S. K.",3.9,"Fifteen-year-old Janna Yusuf, a Flannery O'Connor-obsessed book nerd and the daughter of the only divorced mother at their mosque, tries to make sense of the events that follow when her best friend's cousin--a holy star in the Muslim community--attempts to assault her at the end of sophomore year"
https://sclibrary.bibliocommons.com/v2/record/S146C1454261,American Born Chinese,"Yang, Gene Lue",3.9,Alternates three interrelated stories about the problems of young Chinese Americans trying to participate in the popular culture. Presented in comic book format
https://sclibrary.bibliocommons.com/v2/record/S146C1478753,Thirteen Reasons Why,"Asher, Jay, 1975",4.1,"When high school student Clay Jenkins receives a box in the mail containing thirteen cassette tapes recorded by his classmate Hannah, who committed suicide, he spends a bewildering and heartbreaking night crisscrossing their town, listening to Hannah's voice recounting the events leading up to her death"
https://sclibrary.bibliocommons.com/v2/record/S146C1763884,Six of Crows,"Bardugo, Leigh",4.4,Ketterdam: a bustling hub of international trade where anything can be had for the right price -- and no one knows that better than criminal prodigy Kaz Brekker. Kaz is offered a chance at a deadly heist that could make him rich beyond his wildest dreams. But he can't pull it off alone...  A convict with a thirst for…
https://sclibrary.bibliocommons.com/v2/record/S146C1562003,Anna Dressed in Blood,"Blake, Kendar",4 o,"For three years, seventeen-year-old Cas Lowood has carried on his father's work of dispatching the murderous dead, traveling with his kitchen-witch mother and their spirit-sniffing cat, but everything changes when he meets Anna, a girl unlike any ghost he has faced before"
https://sclibrary.bibliocommons.com/v2/record/S146C1882238,A Study in Charlotte,"Cavallaro, Brittany",3.8,"Sherlock Holmes and Dr. Watson descendants, Charlotte and Jamie, students at a Connecticut boarding school, team up to solve a murder mystery"
